1000,0.000000,245,0.000000,231,0.002000,999,0.001000,250
10000,0.003000,2085,0.002000,1952,0.133000,9999,0.002000,1934
50000,0.011000,5099,0.006000,5013,1.944000,49998,0.011000,5134
100000,0.018000,6202,0.015000,6195,4.951000,99995,0.024000,6454
200000,0.039000,6999,0.032000,6920,13.000000,199990,0.049000,6980
500000,0.094000,7345,0.087000,7282,38.634998,499974,0.133000,6382
1000000,0.203000,7504,0.180000,7939,71.224998,999947,0.327000,6305
